            Australian Bureau of Statistics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
"4741.0 Education Statistics for Aboriginal and Torres Strait Islander Peoples, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) Thu 11 July 2024 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.1 Educational intentions, Aboriginal and/or Torres Strait Islander persons not currently studying, State/Territory by Age groups, NATSISS 2008 and 2014-15",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008 NATSISS,,,,,,,2014-15 NATSISS,,,,,,,2008 NATSISS,,,,,,,2014-15 NATSISS,,,,,
,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total,,20-24 years,25-34 years,35-44  years,45-54 years,55 years and over,Total
,ESTIMATE (000s),,,,,,,,,,,,,,RELATIVE STANDARD ERROR OF ESTIMATE (%),,,,,,,,,,,,
Intends to study in the future,0.8,1.2,0.8,0.7,0.1,3.6,,1.3,1.8,1,0.7,0.3,5,,17.2,13.3,17.3,18.2,36,9.2,,16,9.2,14.8,20.3,29.7,7.7
Does not intent to study in the future,0.2,0.4,0.9,0.9,1.4,3.7,,0.5,0.7,0.7,1.2,2.3,5.1,,33.6,22.6,13.7,14,5.2,6.4,,45.5,20.5,16.9,11.1,5.2,6.5
Total(a) ,1.3,2.1,2.1,1.8,1.6,9,,2,3,2.1,2.4,2.8,12.3,,9.2,3,2.5,2.7,2.4,1.8,,8.5,4.5,5.5,3.4,1.6,2
Northern Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,1.3,2.3,1.9,1.1,0.2,6.7,,1.3,2,1.5,0.6,0.4,6,,19,12.2,12.7,18.9,40,7,,29.9,17.1,15.3,32.7,40.4,11.6
Did not want to study for an educational qualification,4.1,7,5.7,4.2,4.4,25.3,,4.2,8.3,6.6,5.7,5.8,31,,6.2,4.6,4.4,5.7,2.1,2.2,,10.4,5.4,4.5,4.1,3.8,2.5
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,2.3,4.4,2.9,1.5,0.4,11.5,,3.5,5.1,3.2,1.2,0.7,13.7,,13.6,9.8,11.2,13.5,26.7,6.5,,11.6,13.7,11.1,25.6,28.7,8.3
Does not intent to study in the future,2.3,3.4,3.9,3.4,4,16.9,,1.3,3.4,3.5,4.2,5.4,17.7,,14.4,12.3,9.3,7.1,3.5,4.5,,19.8,13.9,11,8,5.3,4
Total(a) ,5.3,9.3,7.6,5.2,4.6,32.1,,5.6,10.4,8.2,6.4,6.4,36.9,,3.1,1.8,2.3,2,1.5,1,,5,2.5,2.5,2.5,1.6,1.2
Australian Capital Territory,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,0.2,0.2,0.2,0.1,0,0.7,,0.2,0.3,0.3,0.1,0.1,1,,29.4,25.6,31.7,39.5,np,14,,43.3,23.8,26.6,27.8,np,14.3
Did not want to study for an educational qualification,0.2,0.3,0.3,0.3,0.2,1.2,,0.3,0.5,0.2,0.4,0.4,1.7,,26.8,23.9,17.8,17.9,8.2,9.4,,31.8,17.5,25,10.8,13.6,7.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,0.3,0.4,0.2,0.2,0,1.1,,0.2,0.6,0.4,0.2,0.1,1.6,,20,13.7,23.4,21.8,48.5,8.2,,42.2,14.7,18.1,35,42.7,9.8
Does not intent to study in the future,0.1,0,0.1,0.1,0.2,0.6,,0,0.2,0.1,0.2,0.3,0.8,,47,np,25.8,26.8,10.1,12.7,,0,31.6,np,26.7,13.5,12.7
Total(a) ,0.3,0.5,0.4,0.4,0.3,1.9,,0.5,0.8,0.5,0.5,0.4,2.7,,17.1,9.9,15.7,4.6,4,5.5,,22.9,10.3,12.3,7.5,7,6
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,11.3,21.1,19.1,9,4.3,64.9,,17.1,25,21,11.7,6.9,82,,8.4,5.4,5.8,8.8,14.7,3.6,,9.7,7.1,6.7,9.1,12.9,4.2
Did not want to study for an educational qualification,26.1,40.9,38.8,33.4,36.9,176.1,,32.2,54.1,46.3,47.6,59.6,239.5,,4.8,3.3,3,2.8,1.8,1.6,,5.2,3.9,3.5,2.7,1.7,1.6
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,19.8,31.5,25.4,12.1,4.1,92.8,,31.7,47.3,32.7,18.3,7.8,137.1,,6.3,4.1,5,7.9,13.8,3,,6.5,4.4,5,8.5,11.5,3
Does not intent to study in the future,10.7,19.7,23.1,25.1,34.1,112.7,,7.8,16.2,21.4,30.5,53.2,129.4,,7.5,6.1,5.8,4.2,2.4,2.5,,14.5,8.3,7.7,4.8,1.9,2.6
Total(a) ,37.4,62.1,57.9,42.4,41.2,241,,49.1,79.2,67.5,59.2,66.6,321.2,,2.9,1.4,1.1,1.5,0.7,0.7,,3.6,1.9,1.5,1.5,0.7,0.8
,PROPORTION OF PERSON (%),,,,,,,,,,,,,,95% MARGIN OF ERROR OF PROPORTION (%),,,,,,,,,,,,
New South Wales,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,#32.1,36.8,36.1,28.8,14.6,30.3,,33.3,33.5,39.3,19.5,11.5,25.6,,11.1,9.2,9.3,8.7,6.8,4.7,,16.4,11.4,9.4,6.8,5.9,4.3
Did not want to study for an educational qualification,#67.9,63.2,63.9,71.2,85.4,69.7,,62.6,67.9,65.3,77.4,91.6,73.8,,11.1,9.2,9.3,8.7,6.8,4.7,,13.1,10,10.5,6.7,5.6,3.9
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#59.8,50.7,51.5,28.1,8.5,40,,58.5,67.4,49.5,29.2,13.2,41.3,,12.6,8.1,9.4,8.6,5.1,4.5,,20.6,11.2,9.6,7.8,6.4,5.2
Does not intent to study in the future,18.2,27.7,31,#58.0,82.1,43.1,,10.6,12.1,30.1,52.3,78.9,39.2,,8.4,7.8,9.2,10.3,7.6,4.9,,8.5,6.8,9.9,8.9,6.6,3.8
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanted to study for an educational qualification,#51.2,48.4,42.7,29.6,15.3,37.5,,46.3,41.7,41.9,24.4,10.9,32.6,,10.8,7.6,8.6,7.5,6.3,3.7,,12.4,9.9,13.9,9.9,7.3,4.5
Did not want to study for an educational qualification,#48.8,51.6,57.3,70.4,84.7,62.5,,56.1,61.7,60.5,78,91.3,66.5,,10.8,7.6,8.6,7.5,6.3,3.7,,11.9,8.6,13.8,8.6,5.9,4.3
Whether has future educational intentions,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intends to study in the future,#70.6,64.2,52.4,35.3,20,48.4,,61,65,48.8,41.5,17.4,48.9,,10.4,7.2,7.9,8,9.4,3.9,,15.7,9.2,11,10.2,7.6,5.2
Does not intent to study in the future,13.9,19.3,25.8,47.7,67.4,34.7,,14.6,20,23.3,39,69.6,32.2,,8.9,6.2,6.9,9.2,8.9,3.6,,13.9,7.5,8.9,11,8.9,3.8
Total(a) ,100,100,100,100,100,100,,100,100,100,100,100,100,,0,0,0,0,0,0,,0,0,0,0,0,0
Queensland,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whether wanted to study for an educational qualification in the last 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,
